Codigo;Acao;Tipo;Qtde. Teorica;Part. (%);
TTEN3;3TENTOS;ON      NM;112.455.686;0,503;
ABCB4;ABC BRASIL;PN  EJ  N2;73.106.941;0,474;
AERI3;AERIS;ON      NM;35.461.088;0,044;
ALOS3;ALLOS;ON      NM;476.976.044;3,228;
ALPA4;ALPARGATAS;PN      N1;153.041.091;0,427;
ALUP11;ALUPAR;UNT     N2;157.537.587;1,460;
ANIM3;ANIMA;ON      NM;256.712.285;0,324;
ARML3;ARMAC;ON      NM;171.598.756;0,172;
ASAI3;ASSAI;ON      NM;1.345.897.506;4,340;
AURE3;AUREN;ON      NM;323.738.747;0,964;
AZZA3;AZZAS 2154;ON      NM;136.643.320;1,661;
BPAN4;BANCO PAN;PN      N1;285.723.480;0,659;
BRSR6;BANRISUL;PNB     N1;202.536.440;0,700;
BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,494;
BLAU3;BLAU;ON      NM;29.680.739;0,117;
SOJA3;BOA SAFRA;ON      NM;46.233.405;0,158;
BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,218;
BRAP4;BRADESPAR;PN      N1;250.982.988;1,180;
AGRO3;BRASILAGRO;ON      NM;63.480.488;0,382;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,718;
BRAV3;BRAVA;ON      NM;451.311.960;2,329;
CAML3;CAMIL;ON      NM;96.218.424;0,144;
BHIA3;CASAS BAHIA;ON      NM;94.965.690;0,088;
CBAV3;CBA;ON      NM;204.441.277;0,292;
CEAB3;CEA MODAS;ON      NM;101.504.341;0,607;
COGN3;COGNA ON;ON      NM;1.872.454.628;1,579;
CSMG3;COPASA;ON  EJ  NM;188.462.398;1,556;
CSAN3;COSAN;ON      NM;1.160.227.510;2,426;
CURY3;CURY S/A;ON      NM;133.117.425;1,186;
CVCB3;CVC BRASIL;ON      NM;450.926.127;0,325;
CYRE3;CYRELA REALT;ON      NM;257.174.951;2,021;
DASA3;DASA;ON      NM;177.124.534;0,071;
DXCO3;DEXCO;ON      NM;301.760.723;0,508;
PNVL3;DIMED;ON      NM;71.516.013;0,206;
DIRR3;DIRECIONAL;ON  ED  NM;108.541.907;1,325;
ECOR3;ECORODOVIAS;ON      NM;329.302.615;0,746;
EVEN3;EVEN;ON      NM;189.773.600;0,420;
EZTC3;EZTEC;ON      NM;95.300.871;0,391;
FESA4;FERBASA;PN      N1;160.583.300;0,337;
FLRY3;FLEURY;ON      NM;455.988.366;1,754;
FRAS3;FRAS-LE;ON      N1;90.273.163;0,713;
GFSA3;GAFISA;ON      NM;6.018.559;0,037;
GOAU4;GERDAU MET;PN      N1;623.866.944;1,648;
GGPS3;GPS;ON      NM;392.414.992;1,847;
GRND3;GRENDENE;ON      NM;267.998.367;0,434;
SBFG3;GRUPO SBF;ON      NM;140.682.629;0,511;
